school_id,school_name,school_level,office_of_education_name,road_address
B000012668,안곡고등학교,고등학교,경기도교육청,경기도 고양시 일산동구 하늘마을로 75
B000012136,금곡고등학교,고등학교,부산광역시교육청,부산광역시 북구 화명신도시로 236
B000026000,양현고등학교,고등학교,전북특별자치도교육청,전북특별자치도 전주시 덕진구 틀못2길 9
B000011780,함양제일고등학교,고등학교,경상남도교육청,경상남도 함양군 함양읍 함양배움길 27
B000012205,대구혜화여자고등학교,고등학교,대구광역시교육청,대구광역시 수성구 교학로12길 62
B000011790,서울국제고등학교,고등학교,서울특별시교육청,서울특별시 종로구 성균관로13길 40
B000013307,창원고등학교,고등학교,경상남도교육청,경상남도 창원시 의창구 태복산로 45
B000013126,해남고등학교,고등학교,전라남도교육청,전라남도 해남군 해남읍 명문길 7
B000012363,호수돈여자고등학교,고등학교,대전광역시교육청,대전광역시 중구 선화로 50
B000012689,판곡고등학교,고등학교,경기도교육청,경기도 남양주시 늘을1로 127
B000011323,서울아이티고등학교,고등학교,서울특별시교육청,서울특별시 노원구 섬밭로 299
B000012809,갑천고등학교,고등학교,강원특별자치도교육청,강원특별자치도 횡성군 갑천면 갑천로 17
B000013029,김제고등학교,고등학교,전북특별자치도교육청,전북특별자치도 김제시 남북2길 25
B000012010,수명고등학교,고등학교,서울특별시교육청,서울특별시 강서구 수명로2길 15
B000012119,용인고등학교,고등학교,부산광역시교육청,부산광역시 동래구 시실로107번길 37
B000012382,대덕고등학교,고등학교,대전광역시교육청,대전광역시 유성구 대덕대로556번길 158
B000012982,전주영생고등학교,고등학교,전북특별자치도교육청,전북특별자치도 전주시 완산구 천잠로 333
B000011925,장충고등학교,고등학교,서울특별시교육청,서울특별시 중구 동호로15길 93
B000011792,이화여자외국어고등학교,고등학교,서울특별시교육청,서울특별시 중구 통일로4길 30
B000012907,공주고등학교,고등학교,충청남도교육청,충청남도 공주시 공주고담길 2
B000012087,영동일고등학교,고등학교,서울특별시교육청,서울특별시 송파구 석촌호수로 93
B000012908,공주여자고등학교,고등학교,충청남도교육청,충청남도 공주시 공주여고길 14-1
B000011887,군산기계공업고등학교,고등학교,전북특별자치도교육청,전북특별자치도 군산시 군중길 28
B000013362,세종고등학교,고등학교,경상남도교육청,경상남도 밀양시 가곡8길 28
B000012032,영등포여자고등학교,고등학교,서울특별시교육청,서울특별시 영등포구 영등포로62길 13
B000011847,울산과학고등학교,고등학교,울산광역시교육청,울산광역시 울주군 상북면 도동신리로 117
B000011794,선화예술고등학교,고등학교,서울특별시교육청,서울특별시 광진구 천호대로 664
B000011419,영종국제물류고등학교,고등학교,인천광역시교육청,인천광역시 중구 운남서로10번길 1
B000012979,완산고등학교,고등학교,전북특별자치도교육청,전북특별자치도 전주시 완산구 능안자구길 55
B000013493,영도여자고등학교,고등학교,부산광역시교육청,부산광역시 영도구 중리북로21번길 42
B000011823,대구체육고등학교,고등학교,대구광역시교육청,대구광역시 북구 칠곡중앙대로136길 29
B000013497,부산중앙고등학교,고등학교,부산광역시교육청,부산광역시 남구 진남로127번길 50
